Truly Guiding People Up to High Levels,Chân chính đưa con người lên cao tầng
"For the whole time I’ve been transmitting our teachings and exercises, I’ve made a point of being responsible to society and to our students. The results have been good, and the impact on the whole society has been pretty good, too. A few years back there were a lot of masters of the qigong arts spreading their qigong practices, but the things they taught were all just at the level of healing and fitness. Of course, I’m not saying that other people’s practices aren’t good. I’m just saying they haven’t passed on any higher things. I know the state of qigong all across the country, and I can say that right now, whether we’re talking about inside China or abroad, I’m the only one who’s really transmitting a practice that takes you to higher levels. And why isn’t anybody else doing that? The reason is, huge issues are involved, the historical origins of it go deep, it involves a wide range of things, and the questions it brings up are penetrating. This isn’t something just anybody can teach, since it involves touching a lot of practices’ things. And this is especially so when we have a lot of practitioners who learn one practice today, then go and learn some other one tomorrow, and they turn their own bodies into a big mess, which makes success just impossible. Others take the main road and cultivate upwards, while they take all kinds of side roads. When they cultivate in one practice, the other ones interfere, and when they cultivate in the other ones, the first one interferes—they’re being interfered with all over the place, and they can’t cultivate anymore.","Trong toàn bộ quá trình truyền Pháp, truyền công tôi có bổn ý là có trách nhiệm với xã hội, có trách nhiệm với học viên; hiệu quả thu được thật tốt, ảnh hưởng đến toàn xã hội cũng rất tốt. Vài năm trước có rất nhiều khí công sư truyền công; những gì họ giảng đều thuộc về tầng chữa bệnh khoẻ người. Đương nhiên, không phải nói là công pháp của những người khác không tốt; tôi chỉ nói rằng họ không truyền gì tại cao tầng. Tôi cũng biết rõ tình thế khí công trên toàn quốc1. Cả trong ngoài nước hiện nay, về việc truyền công lên cao tầng một cách chân chính, thì chỉ có mình cá nhân tôi đang làm. Truyền công lên cao tầng ấy, tại sao không có ai làm? Là vì nó động chạm đến những vấn đề rất lớn, động chạm đến lịch sử uyên nguyên rất sâu xa, động chạm đến phạm vi cũng rất rộng, những vấn đề liên quan đến cũng hết sức gay gắt. Nó không phải là [điều] mà người bình thường có thể truyền được, bởi vì nó phải động đến những điều của rất nhiều công phái. Đặc biệt là chúng ta có rất nhiều người luyện công, họ nay học công này, mai học công khác, đã làm thân thể của mình loạn lung tung hỏng cả; họ nhất định rồi sẽ không thể tu lên được nữa. Người ta theo một con đường lớn [đại đạo] mà tu lên, [còn] họ [theo] các đường nhánh; họ tu cái này, cái kia can nhiễu; tu cái kia, cái này can nhiễu; đều can nhiễu đến họ, họ đã không [thể] tu được nữa rồi."
"We need to straighten all this out for you. We’ll keep what’s good, get rid of what’s bad, and make sure you can cultivate from this point on. But you really have to be here to learn the Great Law. If you bring all kinds of attachments with you, or if you’ve come here wanting to get abilities, to get healed, to just hear some ideas, or maybe for some other bad reason, then it’s not going to work. And this is important, now, because like I’ve said, I’m the only person doing this, and there aren’t a lot of opportunities like this. I won’t keep on spreading it this way forever. I think that whoever gets to hear me transmit the exercises and teachings in person, I’d say he’s really… later on you’ll know, and you’ll feel really glad about this period of time. Of course, we believe in karmic relationship, and everybody sits here because of their karmic relationships.","Những sự tình ấy chúng tôi đều phải giải quyết, cái tốt lưu lại, cái xấu bỏ đi; đảm bảo từ nay trở đi chư vị có thể tu luyện; nhưng [chư vị] phải đến học Đại Pháp một cách chân chính. Nếu chư vị ôm giữ các chủng tâm chấp trước, đến cầu công năng, đến trị bệnh, đến nghe ngóng lý luận, hoặc giả ôm giữ mục đích bất hảo nào đó; như thế đều không được. Bởi vì như tôi đã nói, việc này hiện nay chỉ có mình cá nhân tôi đang làm. Sự việc như thế này, cơ hội không nhiều, và tôi cũng không truyền [giảng] lâu theo cách này. Tôi thấy rằng những người trực tiếp nghe tôi truyền công giảng Pháp, tôi nói thật rằng…… sau này chư vị sẽ hiểu ra; chư vị sẽ thấy rằng khoảng thời gian này thật đáng mừng phi thường. Tất nhiên chúng tôi nói về duyên phận; mọi người ngồi tại đây đều là duyên phận."
"Transmitting a practice that takes you to high levels—now think about it, what’s that mean? Isn’t it about saving people? It’s saving people—you are truly cultivating yourself, and not just getting healthy or fit. It’s true cultivation, so the demands on the student’s character are higher. Now us folks sitting here, we’ve come here to learn the Great Law, so you need to have the mindset of a true practitioner while you sit here, and you need to let go of your attachments. If you’re coming here to learn the exercises, or the Great Law, with the goal of getting all kinds of things, then you won’t learn anything. I’ll tell you a truth: the whole process of cultivation is a process of constantly getting rid of human attachments. Out in the ordinary world, people fight each other, they deceive each other, and they harm other people just to benefit themselves a little. The thoughts behind that all have to go. And this is especially true for us folks learning the practice today—you have all the more reason to get rid of those thoughts.","Truyền công lên cao tầng, mọi người nghĩ xem, [đó] là vấn đề gì? Đó chẳng phải độ nhân sao? Độ nhân ấy, chư vị đúng là tu luyện chân chính, chứ không chỉ là chữa bệnh khoẻ người. Là tu luyện chân chính, đối với tâm tính của học viên thì yêu cầu cũng nhất định phải cao. Chúng ta là những người ngồi tại nơi này, đến để học Đại Pháp, chư vị phải coi mình đúng là những người luyện công chân chính đang ngồi tại đây, chư vị phải vứt bỏ các tâm chấp trước. [Khi] chư vị ôm giữ các loại mục đích hữu cầu mà đến học công, học Đại Pháp, [thì] chư vị sẽ không học được gì hết. [Tôi] nói rõ cho chư vị một chân lý: toàn bộ quá trình tu luyện của người ta chính là quá trình liên tục tống khứ tâm chấp trước của con người. Con người trong xã hội người thường, kẻ tranh người đoạt, kẻ lừa người dối, chỉ vì chút đỉnh lợi ích cá nhân mà làm hại người khác; các tâm ấy đều phải vứt bỏ. Nhất là với những người học công tại đây hôm nay, những tâm ấy lại càng phải vứt bỏ hơn nữa."
"I’m not going to talk about doing healing here. We don’t do healing. But if you want to do true cultivation, and you’ve come here with an ailing body, then you can’t cultivate yet. So I have to purify your body. I only purify the body for people who’ve truly come here to learn the practice, who truly come to learn the Law. There’s one thing we stress: if you can’t set aside those thoughts of yours, if you can’t set aside that health problem, then there’s nothing we can do and we can’t help you. And why is that? Because there’s a truth in this universe: the things that happen to ordinary people, as Buddhists put it, all have underlying causes, and for ordinary people things like birth, aging, sickness, and death are just a fact of life. People only have health problems and suffering because they did bad things in the past and made karma. When they go through hard times they are paying off a karmic debt, so nobody can just go and change that at will. If it’s changed, that’s like letting somebody who’s in debt get off without paying it back, and you can’t just go and do that on a whim. That’s the same as doing something bad.","Ở đây tôi không giảng trị bệnh; chúng tôi cũng không trị bệnh. Nhưng là người tu luyện chân chính, chư vị mang theo thân thể có bệnh, [thì] chư vị tu luyện không được. Tôi phải giúp chư vị tịnh hoá thân thể. Tịnh hoá thân thể chỉ hạn cuộc cho những ai đến học công chân chính, những ai đến học Pháp chân chính. Chúng tôi nhấn mạnh một điểm: [nếu] chư vị không bỏ được cái tâm ấy, không bỏ được cái [suy nghĩ về] bệnh ấy, [thì] chúng tôi chẳng thể làm gì, đối với chư vị chẳng thể giúp được. Tại sao? Bởi vì trong vũ trụ này có một [Pháp] lý: những sự việc nơi người thường, chiểu theo Phật gia [tuyên] giảng, đều có quan hệ nhân duyên; sinh lão bệnh tử, [chúng] tồn tại đúng như vậy ở [cõi] người thường. Bởi vì con người trước đây đã làm điều xấu [nên] nghiệp lực sinh ra mới tạo thành có bệnh hoặc ma nạn. Chịu tội [khổ] chính là hoàn trả nợ nghiệp; vậy nên, không ai có thể tuỳ tiện thay đổi nó; thay đổi [nó] cũng tương đương với mắc nợ không phải trả; cũng không được tuỳ ý mà làm thế, nếu không thì cũng tương đương với làm điều xấu."
"Some people think that healing people, or helping them get healthy and fit, is doing a good thing. But the way I see it, they haven’t really healed anything. They’ve just postponed and shifted the ailment, or transformed it, but they haven’t taken it out. To really eliminate that tribulation you have to eliminate the karma. And if a person can really heal people, if he can completely clear out that karma, and I mean really do that, then his level definitely isn’t low. He would have already seen a truth, which is, the laws for ordinary people can’t just be violated like that. During his cultivation, a cultivator who’s moved by compassion is allowed to do some good things, heal people, or help them get healthy and fit, but he still can’t heal people completely. If an ordinary person’s ailment could really be rooted out, then a non-cultivating, ordinary person would walk off without any ailment, but he’d still be an ordinary person, and he’d go on fighting for his own benefit just like other ordinary people. How could you just go and eliminate his karma? That’s definitely not allowed.","Có người tưởng rằng trị bệnh cho người khác, chữa bệnh khoẻ người là việc tốt. Theo tôi thấy, [họ] đều không thật sự trị khỏi bệnh; đều chỉ là trì hoãn bệnh, hoặc là chuyển hoá [bệnh], chứ không đúng là trị bỏ nó đi. [Để] thật sự trừ dứt nạn ấy, thì phải tiêu trừ nghiệp lực. Nếu thật sự có khả năng trị hết bệnh ấy, thanh trừ triệt để nghiệp lực ấy, thật sự đạt đến điểm ấy, [thì] tầng của cá nhân đó cũng không thấp lắm. Họ đã thấy rõ một [Pháp] lý, chính là không được tuỳ ý phá hoại [Pháp] lý trong [cõi] người thường. Trong quá trình tu luyện, người tu luyện xuất phát từ tâm từ bi mà làm một vài việc tốt, giúp người trị bệnh, chữa bệnh khoẻ người; điều ấy được phép; nhưng cũng không thể hoàn toàn trị hết [bệnh] cho người ta được. Nếu như có thể thật sự trị tận gốc bệnh cho một người thường, thì người thường không có tu luyện ấy có thể ra khỏi đây, chẳng còn chút bệnh nào hết; ra khỏi cửa vẫn là một người thường, và xuất phát từ lợi ích cá nhân người ấy vẫn tranh đoạt như những người thường; vậy làm sao có thể tuỳ ý tiêu trừ nghiệp lực cho họ được? Điều ấy tuyệt đối không được phép."
"So why is it okay to do that for cultivators, then? Because nobody is more precious than a cultivator. He wants to cultivate, and that’s the most precious thought. In Buddhism they talk about Buddha-nature, and that when a person’s Buddha-nature comes out the Enlightened Beings can help him. And what do they mean by that? If you ask me, since I’m transmitting a practice on a higher level, it involves truths from high levels, and the issues it touches on are huge. In this universe, human life, as we see it, isn’t generated in the ordinary world. A person’s true life is generated in the space of the universe. The reason being, there are many types of matter in this universe that produce life, and these types of matter can generate life through motion and interaction. What this means is that a person’s earliest life originates in the universe. The space of the universe is inherently good, and its nature is to be True, Good, and Endure, and when a person is born he has the same nature as the universe. But as more beings are created, community-like social relationships form. Some of the beings might grow selfish and gradually lower their levels, so they can’t stay at that level and have to drop. But then at the next level they become not so good again, and again they can’t stay there, so they keep dropping down and down, until at some point they finally drop to this level of human beings.","Vậy vì sao lại có thể giúp người tu luyện [trị bệnh] được? Bởi vì người tu luyện là trân quý nhất, [vì] người ấy muốn tu luyện; vậy nên, một niệm [muốn tu luyện] xuất phát ra là trân quý nhất. Trong Phật giáo có giảng Phật tính; một khi Phật tính xuất hiện, các Giác Giả có thể giúp người ấy. Ý nghĩa ấy là gì? Nếu hỏi tôi giảng, bởi vì tôi đang truyền công tại cao tầng, liên quan đến [Pháp] lý tại cao tầng, liên quan đến những vấn đề rất lớn. Nơi vũ trụ này, chúng tôi thấy rằng sinh mệnh con người không phải sinh ra tại xã hội người thường. Sự sản sinh ra sinh mệnh chân chính của con người chính là sinh ra trong không gian vũ trụ. Bởi vì trong vũ trụ này có rất nhiều các loại vật chất chế tạo sinh mệnh; với sự vận động tương hỗ, những vật chất ấy có thể sản sinh ra sinh mệnh; nên cũng nói, sinh mệnh tối nguyên sơ của con người đến từ vũ trụ. Bản lai của không gian vũ trụ là lương thiện, là mang đầy đủ chủng đặc tính Chân Thiện Nhẫn; con người sinh ra cùng với vũ trụ là đồng tính. Nhưng sản sinh ra nhiều thể sinh mệnh rồi; thì cũng phát sinh quan hệ xã hội [trong] quần thể. Trong đó có một số người có thể tăng thêm tư tâm; tầng của họ dần dần rất chậm hạ thấp xuống; [khi] không thể ở tại tầng ấy nữa, thì họ phải rớt xuống dưới. Tuy nhiên tại tầng kia [họ] lại biến đổi không còn tốt nữa, họ không thể ở lại, và tiếp tục rớt xuống dưới; cuối cùng rớt xuống đến tầng của nhân loại."
"The whole human society is at one level. When they drop down this far, these beings were supposed to be destroyed if they are looked at only in terms of abilities, or only from the standpoint of the Great Enlightened Beings. But Great Enlightened Beings take compassion as their starting point, so they gave them another chance and made this special environment and this special dimension. The beings in this dimension are different from the beings in all other dimensions in the universe. The beings in this dimension can’t see the beings in other dimensions, and they can’t see how the universe really is, so it’s just like these people have dropped into a realm of delusion. If they want to get healed, get rid of adversity, or eliminate their karma, then they’ve got to cultivate and return to their original, true selves. That’s how all the different cultivation ways see it. A person should return to his original, true self—that’s actually the true purpose of being human. So, once somebody wants to cultivate, they’d say his Buddha-nature has come out. That thought is the most precious, because he wants to return to his original, true self, he wants to break out of this level of ordinary people.","Toàn thể xã hội nhân loại đều cùng trong một tầng này. Đã rớt đến bước này, đứng tại góc độ công năng mà xét, hoặc đứng tại góc độ các Đại Giác Giả mà xét, [thì] những thể sinh mệnh kia cần phải bị tiêu huỷ. Tuy nhiên các Đại Giác Giả đã xuất phát từ tâm từ bi mà cấp cho họ một cơ hội nữa; [các Đại Giác Giả] tạo nên một hoàn cảnh đặc thù, một không gian đặc thù như thế này. Tuy vậy các thể sinh mệnh tại không gian này khác xa các thể sinh mệnh tại tất cả không gian khác trong vũ trụ. Những thể sinh mệnh tại không gian này không thể nhìn thấy các thể sinh mệnh tại các không gian khác, và không thể nhìn thấy chân tướng của vũ trụ; bởi vậy ai [rớt xuống đây] đều tương đương với rơi vào [cõi] mê. Muốn hết bệnh, trừ nạn, tiêu nghiệp, thì những người này phải tu luyện, [phải] ‘phản bổn quy chân’ đó chính là điều mà các loại [môn pháp] tu luyện đều nhìn nhận. Con người phải phản bổn quy chân, đó mới là mục đích chân chính để làm người; do vậy một cá nhân hễ muốn tu luyện, thì được [xác] nhận là Phật tính đã xuất hiện. Niệm ấy trân quý nhất, vì vị ấy muốn phản bổn quy chân, muốn từ tầng của người thường mà nhảy ra."
"Maybe you’ve heard the Buddhist saying, ""When a person’s Buddha-nature comes out it shakes the Ten-Directional World."" Whoever sees this will help him, and they’ll help him no matter what. Buddhists believe that saving people has no conditions attached, it’s done at whatever cost, and they can help him unconditionally. That’s why we can do a lot for our students. But it doesn’t work like that for an ordinary person, who just wants to be an ordinary person and get healed. Some people think, ""I’ll cultivate if I can just get my health back."" But cultivation doesn’t have any conditions attached—if you want to cultivate, then you just cultivate. Some people’s bodies are sick, though, and some people have messed-up messages in their bodies, some haven’t ever cultivated, and then there are others who’ve cultivated for decades but are still milling around in the realm of qi energy, and haven’t gotten anywhere cultivating.","Có thể mọi người đã từng nghe câu này trong Phật giáo: ‘Phật tính nhất xuất, chấn động thập phương thế giới’. Ai mà nhìn thấy, [thì] đều [muốn] giúp người kia, giúp một cách vô điều kiện. Phật gia độ nhân không nói điều kiện, [cũng] không có giá cả; có thể giúp đỡ người kia một cách vô điều kiện; vậy nên chúng tôi có thể làm cho học viên rất nhiều sự việc. Nhưng [đối với] một người thường, chỉ muốn làm người nơi người thường, họ [chỉ] muốn hết bệnh, thì không thể được. Có người nghĩ: ‘Mình hết bệnh thì mình sẽ tu luyện’. Tu luyện không có điều kiện nào hết; muốn tu luyện, thì tu luyện thôi. Nhưng mang một thân thể có bệnh, hoặc có người mang trên thân những tín tức còn rất loạn; có người chưa từng luyện công; cũng có người đã luyện công hàng chục năm, nhưng vẫn loanh quanh ở [tầng luyện] khí, cũng chưa tu được lên trên."
"So what should we do about that? We need to purify their bodies and make it possible for them to cultivate up to high levels. When you’re cultivating at the lowest level there’s a process, which is, we totally purify your body. We take all the bad things in your mind, that karma field around your body, and all those factors that make your body unhealthy, and we clean the whole thing out. If we didn’t, then how could you, and that dirty body of yours that’s all dark, and that filthy mind of yours, how could you cultivate up to high levels? And we don’t work on qi here. You don’t need to work on those low-level things. We’ll push you past that and help your body reach an illness-free state. And at the same time, we’ll give you a complete, ready-made set of things that are needed at the low level to build a foundation. That way, we’ll start right off at a high level.","Vậy làm sao đây? Chúng tôi sẽ tịnh hoá thân thể họ, để họ có thể tu luyện lên cao tầng. Trong khi tu luyện tại tầng thấp nhất, có một quá trình, chính là thân thể chư vị được hoàn toàn tịnh hoá cho đến triệt để; tất cả những gì không tốt tồn tại trong tư tưởng, quanh thân thể tồn tại trường nghiệp lực và những nhân tố làm thân thể không được khoẻ mạnh; toàn bộ những thứ ấy phải được thanh lý ra hết. Nếu chẳng thanh lý, mang theo thân thể nhơ nhớp, thân thể đen bẩn và tư tưởng dơ xấu như vậy, thử hỏi có thể đạt đến tu luyện lên cao tầng được không? Ở đây chúng ta không luyện khí, không yêu [cầu] chư vị luyện gì ở tầng thấp ấy hết; chúng tôi đẩy chư vị vượt qua, để cho thân thể chư vị đạt đến trạng thái vô bệnh. Đồng thời chúng tôi còn cấp cho chư vị một bộ đã hình thành đầy đủ mọi thứ cần thiết cho [việc tạo] cơ sở của tầng thấp; như thế, chúng ta sẽ ở trên tầng rất cao [mà] luyện công."
"Going by what’s said in cultivation, if you want to count qi, then there are three levels. But true cultivation (which doesn’t count working qi) has two major levels: one is Triple-World-Law cultivation, and the other is Beyond-Triple-World-Law cultivation. These ""Triple-World-Law"" and ""Beyond-Triple-World-Law"" are different from what people say in monasteries about ""leaving the mundane world"" and ""entering the mundane world""—those are just conceptual. We undergo changes at two major levels through true human-body cultivation. In the process of Triple-World-Law cultivation the body is purified constantly, again and again, so when the highest form of Triple-World-Law is reached the body will have been completely replaced by high-energy matter. But with Beyond-Triple-World-Law cultivation, that’s pretty much Buddha-body cultivation, that’s a body made of high-energy matter, and all abilities will be redeveloped. These are the two major levels we talk about.","Chiểu theo thuyết pháp tu luyện, khí được tính [thế nào]: có ba tầng. Nhưng tu luyện chân chính (không tính phần luyện khí), gồm có hai tầng lớn tất cả: một là tu luyện ‘thế gian pháp’, hai là tu luyện ‘xuất thế gian pháp’. Thế gian pháp và xuất thế gian pháp này khác với ‘xuất thế gian’ và ‘nhập thế gian’ [được giảng] trong chùa, vốn chỉ là lý luận. [Của] chúng tôi là biến hoá tại hai tầng lớn tu luyện [thân] thể người một cách chân chính. Bởi vì trong quá trình tu luyện thế gian pháp thân thể người được tịnh hoá liên tục, tịnh hoá không ngừng; do đó khi đến hình thức cao nhất của thế gian pháp, thân thể đã hoàn toàn được thay thế bằng vật chất cao năng lượng. Còn tu luyện xuất thế gian pháp cơ bản là tu luyện Phật thể, là thân thể cấu thành từ vật chất cao năng lượng, [trong đó] tất cả công năng đều tái xuất lại mới. Chúng tôi nói về hai tầng lớn như vậy."
